"JURISDICTION.NAME","COUNT.PARTICIPANTS","COUNT.FEMALE","COUNT.MALE","COUNT.GENDER.UNKNOWN","COUNT.GENDER.TOTAL","COUNT.PACIFIC.ISLANDER","COUNT.HISPANIC.LATINO","COUNT.AMERICAN.INDIAN","COUNT.ASIAN.NON.HISPANIC","COUNT.WHITE.NON.HISPANIC","COUNT.BLACK.NON.HISPANIC","COUNT.OTHER.ETHNICITY","COUNT.ETHNICITY.UNKNOWN","COUNT.ETHNICITY.TOTAL","COUNT.PERMANENT.RESIDENT.ALIEN","COUNT.US.CITIZEN","COUNT.OTHER.CITIZEN.STATUS","COUNT.CITIZEN.STATUS.UNKNOWN","COUNT.CITIZEN.STATUS.TOTAL","COUNT.RECEIVES.PUBLIC.ASSISTANCE","COUNT.NRECEIVES.PUBLIC.ASSISTANCE","COUNT.PUBLIC.ASSISTANCE.UNKNOWN","COUNT.PUBLIC.ASSISTANCE.TOTAL"
10001,44,22,22,0,44,0,16,0,3,1,21,3,0,44,2,42,0,0,44,20,24,0,44
10002,35,19,16,0,35,0,1,0,28,6,0,0,0,35,2,33,0,0,35,2,33,0,35
10003,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1
10004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005,2,2,0,0,2,0,0,0,1,0,1,0,0,2,1,1,0,0,2,0,2,0,2
10006,6,2,4,0,6,0,2,0,0,1,3,0,0,6,0,6,0,0,6,0,6,0,6
10007,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1
10009,2,0,2,0,2,0,0,0,2,0,0,0,0,2,0,2,0,0,2,0,2,0,2
10010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10011,3,2,1,0,3,0,1,0,0,0,1,1,0,3,0,3,0,0,3,0,3,0,3
10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10013,8,1,7,0,8,0,0,0,8,0,0,0,0,8,0,8,0,0,8,1,7,0,8
10014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10016,17,12,5,0,17,0,9,0,0,0,8,0,0,17,0,17,0,0,17,9,8,0,17
10017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10018,3,2,1,0,3,0,0,0,3,0,0,0,0,3,1,2,0,0,3,0,3,0,3
10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10022,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1
10023,7,5,2,0,7,0,3,0,1,0,3,0,0,7,0,7,0,0,7,5,2,0,7
10024,4,4,0,0,4,0,0,0,0,3,0,0,1,4,0,4,0,0,4,1,3,0,4
10025,27,17,10,0,27,0,15,0,0,0,11,1,0,27,3,24,0,0,27,8,19,0,27
10026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10027,7,4,3,0,7,0,1,0,1,0,4,1,0,7,1,6,0,0,7,1,6,0,7
10028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10029,20,13,7,0,20,0,4,0,0,0,15,1,0,20,0,20,0,0,20,8,12,0,20
10030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10032,13,4,9,0,13,0,9,0,1,0,2,1,0,13,1,12,0,0,13,5,8,0,13
10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10036,2,2,0,0,2,0,0,0,1,0,1,0,0,2,0,2,0,0,2,2,0,0,2
10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10038,16,11,5,0,16,0,2,0,9,0,5,0,0,16,1,15,0,0,16,3,13,0,16
10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10040,5,4,1,0,5,0,3,0,1,0,1,0,0,5,0,5,0,0,5,2,3,0,5
10044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10306,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1
10307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
