"Country","SEDA.Current.level","SEDA.Recent.progress","Wealth.to.well.being.coefficient","Growth.to.well.being.coefficient","Percent.of.15plus.with.bank.account","EPI_regions","Region"
"Albania",50,63.3,1.27,1.31,37.98635,"Central and Eastern Europ","Europe"
"Algeria",40.6,46.5,0.87,1.03,50.47579,"Middle East and North Africa","Middle East & North Africa"
"Angola",17.8,76.2,0.54,1.21,29.31812,"Sub-Saharan Africa","Sub-Saharan Africa"
"Argentina",54.1,49.1,0.91,0.89,50.1973,"Latin America and Caribbe","Latin America & the Caribbean"
"Armenia",43.8,46,1.25,1.11,17.66907,"Middle East and North Africa","Middle East & North Africa"
"Australia",87.9,40.9,1.07,0.92,98.85957,"East Asia and the Pacific","Oceania"
"Austria",92.7,33.5,1.11,1,96.73406,"Europe","Europe"
"Azerbaijan",46.2,61.4,0.88,0.85,29.15149,"Central and Eastern Europ","Europe"
"Bahrain",70.1,49.1,0.84,0.9,81.93935,"Middle East and North Africa","Middle East & North Africa"
"Bangladesh",25.5,63.7,1.05,0.94,30.99082,"South Asia","Asia"
"Belarus",60.3,61,1.12,1.08,71.98499,"Central and Eastern Europ","Europe"
"Belgium",90,39.3,1.1,1.18,98.12576,"Europe","Europe"
"Belize",45,35.4,1.26,0.83,48.20925,"Latin America and Caribbe","Latin America & the Caribbean"
"Benin",25.8,48.7,1.19,0.9,16.62083,"Sub-Saharan Africa","Sub-Saharan Africa"
"Bhutan",42.1,84.1,1.22,1.05,33.66591,"South Asia","Asia"
"Bolivia",33.4,63.8,1.05,1.06,41.79672,"Latin America and Caribbe","Latin America & the Caribbean"
"Bosnia and Herzegovina",48.5,50.9,1.26,1.46,52.68503,"Europe","Europe"
"Botswana",37.4,52.6,0.75,0.92,51.96457,"Sub-Saharan Africa","Sub-Saharan Africa"
"Brazil",49.3,54.9,0.99,1.11,68.12315,"Latin America and Caribbe","Latin America & the Caribbean"
"Bulgaria",57.3,34.2,1.12,0.98,62.98683,"Central and Eastern Europ","Europe"
"Burkina Faso",20.9,69.5,1,1.06,14.3576,"Sub-Saharan Africa","Sub-Saharan Africa"
"Burundi",21.6,62.5,1.14,1.15,7.105759,"Sub-Saharan Africa","Sub-Saharan Africa"
"Cambodia",31.8,88.1,1.29,1.29,22.16527,"East Asia and the Pacific","Asia"
"Cameroon",19,56.2,0.79,1.09,12.17773,"Sub-Saharan Africa","Sub-Saharan Africa"
"Canada",85.4,33.6,1.03,0.89,99.10332,"North America","North America"
"Chad",7,72.2,0.32,1.1,12.43334,"Sub-Saharan Africa","Sub-Saharan Africa"
"Chile",65.4,57.8,1.09,1.1,63.25888,"Latin America and Caribbe","Latin America & the Caribbean"
"China",46.5,97.5,1.03,1,78.92678,"East Asia and the Pacific","Asia"
"Colombia",41.7,61.2,0.92,1.1,38.99902,"Latin America and Caribbe","Latin America & the Caribbean"
"Costa Rica",56.4,49.3,1.17,0.97,64.55306,"Latin America and Caribbe","Latin America & the Caribbean"
"Croatia",61.3,37.9,1.05,1.73,86.02509,"Europe","Europe"
"Cyprus",67.6,12.2,0.95,0.46,90.1502,"Middle East and North Africa","Middle East & North Africa"
"Czech Republic",78.4,34,1.11,1.06,82.17821,"Central and Eastern Europ","Europe"
"Denmark",91.3,25,1.1,0.93,100,"Europe","Europe"
"Dominican Republic",41.5,51.9,0.92,0.93,54.09099,"North America","North America"
"Ecuador",44.8,60.8,1.08,1.09,46.21243,"Latin America and Caribbe","Latin America & the Caribbean"
"El Salvador",41.8,34.9,1.18,0.99,36.71971,"Latin America and Caribbe","Latin America & the Caribbean"
"Estonia",78.8,37.9,1.19,1.26,97.67167,"Europe","Europe"
"Ethiopia",25.8,100,1.25,1.02,21.79158,"Sub-Saharan Africa","Sub-Saharan Africa"
"Finland",94.9,23.1,1.19,0.85,100,"Europe","Europe"
"France",83.1,23.6,1.05,0.74,96.58276,"Europe","Europe"
"Gabon",37.3,61.8,0.67,1.14,33.01418,"Sub-Saharan Africa","Sub-Saharan Africa"
"Georgia",46.5,65.6,1.37,1.18,39.66507,"Central and Eastern Europ","Europe"
"Germany",93.6,40.9,1.12,1.2,98.76041,"Europe","Europe"
"Ghana",33.1,84.7,1.25,1,40.50579,"Sub-Saharan Africa","Sub-Saharan Africa"
"Greece",62.6,0,0.96,0,87.51865,"Europe","Europe"
"Guatemala",32.9,41.4,0.98,0.87,41.34922,"Latin America and Caribbe","Latin America & the Caribbean"
"Guinea",19.3,59.1,0.97,1.37,6.960017,"Sub-Saharan Africa","Sub-Saharan Africa"
"Haiti",14.1,47.4,0.67,1.21,18.85868,"Latin America and Caribbe","Latin America & the Caribbean"
"Honduras",30,36.9,1.06,0.8,31.48636,"Latin America and Caribbe","Latin America & the Caribbean"
"Hungary",71.4,19,1.13,0.69,72.25683,"Central and Eastern Europ","Europe"
"India",32.6,73.6,1.09,0.95,53.14155,"South Asia","Asia"
"Indonesia",39.7,68.4,1,1.04,36.05899,"East Asia and the Pacific","Asia"
"Iraq",27.7,59.6,0.57,0.85,10.97235,"Middle East and North Africa","Middle East & North Africa"
"Ireland",85.8,24.4,1.01,0.8,94.71014,"Europe","Europe"
"Israel",66.2,40.9,0.9,0.8,89.95277,"Middle East and North Africa","Middle East & North Africa"
"Italy",70.6,12.9,0.94,0.56,87.33458,"Europe","Europe"
"Jamaica",44,28.5,1.2,1.1,78.45821,"Latin America and Caribbe","Latin America & the Caribbean"
"Japan",81.3,33.5,1.06,1.1,96.64558,"East Asia and the Pacific","Asia"
"Jordan",45.6,37.3,1.07,0.7,24.61591,"Middle East and North Africa","Middle East & North Africa"
"Kazakhstan",59.5,68.7,0.95,1.09,53.90742,"Central and Eastern Europ","Asia"
"Kenya",21.5,67.6,0.9,1.12,74.65784,"Sub-Saharan Africa","Sub-Saharan Africa"
"Kuwait",70.2,28.1,0.82,0.73,72.90818,"Middle East and North Africa","Middle East & North Africa"
"Latvia",68,23.7,1.12,0.93,90.21825,"Europe","Europe"
"Lebanon",42.4,51.8,0.81,0.81,46.92714,"Middle East and North Africa","Middle East & North Africa"
"Lithuania",72.1,39,1.09,1.13,77.90629,"Europe","Europe"
"Luxembourg",87.4,38.2,1.02,1,96.16869,"Europe","Europe"
"Madagascar",23.2,28.9,1.14,0.73,8.551339,"Sub-Saharan Africa","Sub-Saharan Africa"
"Malawi",22.7,71.7,1.19,1.05,18.09242,"Sub-Saharan Africa","Sub-Saharan Africa"
"Malaysia",57.4,56.7,0.89,0.99,80.67462,"East Asia and the Pacific","Asia"
"Mali",20.6,58,0.99,1.15,20.07604,"Sub-Saharan Africa","Sub-Saharan Africa"
"Malta",69.9,29.4,1.01,0.76,96.328,"Europe","Europe"
"Mauritania",21.5,48.5,0.83,0.97,22.86588,"Sub-Saharan Africa","Sub-Saharan Africa"
"Mauritius",62.8,53.4,1.16,1.02,82.20827,"Sub-Saharan Africa","Sub-Saharan Africa"
