Entity;Code;Year;ShareOfHappyPeople
1;Albania;ALB;1998;33.433434
2;Albania;ALB;2004;58.799999
3;Algeria;DZA;2004;80.733231
4;Algeria;DZA;2014;79.89418
5;Andorra;AND;2009;92.878632
6;Argentina;ARG;1984;78.571426
7;Argentina;ARG;1993;76.347305
8;Argentina;ARG;1998;81.742355
9;Argentina;ARG;2004;81.09375
10;Argentina;ARG;2009;86.072144
11;Argentina;ARG;2014;87.207031
12;Armenia;ARM;1998;54.799999
13;Armenia;ARM;2014;81.619659
14;Australia;AUS;1984;95.491806
15;Australia;AUS;1998;94.140625
16;Australia;AUS;2009;92.42746
17;Australia;AUS;2014;93.989067
18;Azerbaijan;AZE;1998;76.623375
19;Azerbaijan;AZE;2014;81.836327
20;Bahrain;BHR;2014;72.666672
21;Bangladesh;BGD;1998;84.721306
22;Bangladesh;BGD;2004;77.400002
23;Belarus;BLR;1993;43.842361
24;Belarus;BLR;1998;44.885277
25;Belarus;BLR;2014;65.306122
26;Bosnia and Herzegovina;BIH;1998;79.125
27;Bosnia and Herzegovina;BIH;2004;81.833336
28;Brazil;BRA;1993;75.925926
29;Brazil;BRA;2009;90.380768
30;Brazil;BRA;2014;91.784515
31;Bulgaria;BGR;1998;55.503731
32;Bulgaria;BGR;2009;55.744255
33;Burkina Faso;BFA;2009;79.882431
34;Canada;CAN;2004;95.857063
35;Canada;CAN;2009;95.05088
36;Chile;CHL;1993;71.866669
37;Chile;CHL;1998;80
38;Chile;CHL;2004;79.833336
39;Chile;CHL;2009;82.082077
40;Chile;CHL;2014;84.669342
41;China;CHN;1993;67.002014
42;China;CHN;1998;83.600006
43;China;CHN;2004;78.11245
44;China;CHN;2009;76.219208
45;China;CHN;2014;84.995628
46;Colombia;COL;1998;84.312416
47;Colombia;COL;2009;86.842979
48;Colombia;COL;2014;91.594971
49;Croatia;HRV;1998;69.397995
50;Cyprus;CYP;2009;87.511917
51;Cyprus;CYP;2014;82.082077
52;Czech Republic;CZE;1993;72.697723
53;Czech Republic;CZE;1998;83.524231
54;Dominican Republic;DOM;1998;72.422066
55;Ecuador;ECU;2014;93.01165
56;Egypt;EGY;2004;89.400002
57;Egypt;EGY;2009;84.229507
58;Egypt;EGY;2014;29.678267
59;El Salvador;SLV;1998;92.02552
60;Estonia;EST;1998;63.663078
61;Estonia;EST;2014;75.440887
62;Ethiopia;ETH;2009;63.678932
63;Finland;FIN;1984;93.580742
64;Finland;FIN;1998;91.18541
65;Finland;FIN;2009;91.715973
66;France;FRA;2009;89.61039
67;Georgia;GEO;1998;65.239044
68;Georgia;GEO;2009;66.154877
69;Georgia;GEO;2014;69.550743
70;Germany;DEU;1998;80.552818
71;Germany;DEU;2009;78.248177
72;Germany;DEU;2014;86.134247
73;Ghana;GHA;2009;78.473579
74;Ghana;GHA;2014;82.538658
75;Guatemala;GTM;2009;78.699997
76;Hong Kong;HKG;2009;83.546326
77;Hong Kong;HKG;2014;89.278557
78;Hungary;HUN;1984;78.451881
79;Hungary;HUN;1998;77.384613
80;Hungary;HUN;2009;75.920395
81;India;IND;1993;72
82;India;IND;1998;75.882355
83;India;IND;2004;72.877121
84;India;IND;2009;75.36232
85;India;IND;2014;80.518654
86;Indonesia;IDN;2004;94.594589
87;Indonesia;IDN;2009;92.94294
88;Iran;IRN;2004;58.290054
89;Iran;IRN;2009;80.29557
90;Iraq;IRQ;2004;62.338223
91;Iraq;IRQ;2009;52.927929
92;Iraq;IRQ;2014;68
93;Israel;ISR;2004;77.462433
94;Italy;ITA;2009;89.781746
95;Japan;JPN;1984;83.228134
96;Japan;JPN;1993;77.744804
97;Japan;JPN;1998;89.089188
98;Japan;JPN;2004;86.490456
99;Japan;JPN;2009;89.681053
100;Japan;JPN;2014;86.45108
101;Jordan;JOR;2004;83.142387
102;Jordan;JOR;2009;87.406174
103;Jordan;JOR;2014;85.75
104;Kazakhstan;KAZ;2014;88.73333
105;Kuwait;KWT;2014;91.987679
106;Kyrgyzstan;KGZ;2004;83.892616
107;Kyrgyzstan;KGZ;2014;95.994659
108;Latvia;LVA;1998;68.833336
109;Lebanon;LBN;2014;78.726974
110;Libya;LBY;2014;86.817322
111;Lithuania;LTU;1998;54.70763
112;Macedonia;MKD;1998;62.311562
113;Macedonia;MKD;2004;74.691948
114;Malaysia;MYS;2009;94.754372
115;Malaysia;MYS;2014;96.076927
116;Mali;MLI;2009;83.355263
117;Mexico;MEX;1984;80.677399
118;Mexico;MEX;1993;68.543045
119;Mexico;MEX;1998;66.116753
120;Mexico;MEX;2004;91.66124
121;Mexico;MEX;2009;90.93248
122;Mexico;MEX;2014;94.25
123;Moldova;MDA;1998;43.39431
124;Moldova;MDA;2004;49.007938
125;Moldova;MDA;2009;50.191204
126;Montenegro;MNE;1998;69.166664
127;Montenegro;MNE;2004;65.28302
128;Morocco;MAR;2004;79.136696
129;Morocco;MAR;2009;80.900749
130;Morocco;MAR;2014;78.464111
131;Netherlands;NLD;2009;93.696274
